lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_desc,weather_icon
3.033,101.45,Asia/Kuala_Lumpur,28800,1736024400,1736032846,1736075871,25.43,26.48,1010,94,24.39,NA,20,6000,0.51,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737360000,1737329153,1737372243,32.98,35.97,1007,49,20.84,NA,20,10000,1.54,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736330400,1736292119,1736335153,29.5,31.39,1008,57,20.09,NA,20,10000,1.54,240,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736330400,1736292119,1736335153,29.5,31.39,1008,57,20.09,NA,20,10000,1.54,240,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737536400,1737501982,1737545084,28.75,32.9,1008,74,23.65,NA,100,NA,1.83,140,804,Clouds,overcast clouds,04d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736028000,1736032846,1736075871,25.66,26.74,1010,94,24.62,NA,20,7000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738540800,1738538887,1738582070,24.64,25.33,1009,83,21.56,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737442800,1737415568,1737458664,30.29,31.66,1008,51,19.03,NA,20,10000,1.54,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738648800,1738625290,1738668481,31.97,32.23,1010,40,16.69,NA,20,10000,2.06,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737259200,1737242737,1737285822,28.81,31.01,1011,62,20.8,NA,20,10000,1.54,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738623600,1738625290,1738668481,24.88,25.59,1010,83,21.79,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738425600,1738452483,1738495659,26.89,28.99,1011,74,21.86,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738699200,1738711692,1738754891,25.6,26.38,1010,83,22.5,NA,20,10000,1.03,0,501,Rain,moderate rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737273600,1737242737,1737285822,29.58,34.04,1008,70,23.53,NA,20,10000,2.06,260,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738440000,1738452483,1738495659,25.93,26.51,1009,74,20.94,NA,20,9000,1.54,310,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738832400,1738798094,1738841300,27.08,30.22,1006,83,23.94,NA,20,8000,1.54,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736161200,1736119271,1736162299,26.74,28.57,1009,72,21.27,NA,20,10000,1.54,270,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736161200,1736119271,1736162299,26.74,28.57,1009,72,21.27,NA,20,10000,1.54,270,502,Rain,heavy intensity rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736967600,1736983486,1737026555,26.17,26.17,1011,77,21.82,NA,20,7000,2.06,320,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737021600,1736983486,1737026555,27.81,32.99,1008,89,25.83,NA,20,10000,2.06,20,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737021600,1736983486,1737026555,27.81,32.99,1008,89,25.83,NA,20,10000,2.06,20,501,Rain,moderate rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738422000,1738366078,1738409246,27.35,29.87,1011,74,22.31,NA,20,10000,1.54,0,801,Clouds,few clouds,02n
